Tweet ID: 1 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'l’actu', '–', 'médecins', 'travail', 'vent', 'debout', 'contre', 'projet', 'loi', 'el', 'khomri']
Tweet ID: 22 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ipad', '1', '32', 'go', 'wifi', '+3g', 'complet', 'boite', '120', '00', 'eurdate', 'fin', 'samedi', 'mars-12-2016', '19', '45', '34', 'cetachat']
Tweet ID: 23 | Score: -0.30 | Label: négatif | Mots Sentiment: 1 | Tokens: ['bh', 'ptit', 'peu', 'goal', '+++', 'vie', 'arriverais', 'jamais', 'donc', 'bon']
Tweet ID: 24 | Score: 0.40 | Label: positif | Mots Sentiment: 1 | Tokens: ['histoire', 'vie', 'mdr']
Tweet ID: 26 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'mdrr', 'père', 'a', 'pris', 'téléphone', 'a', 'envoyé', 'jtm', 'bb', 'toutes', 'meufs', 'répertoire', 'a', '55', 'ans', 'i', 'cherche…']
Tweet ID: 27 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'oh', 'nouveau', 'jeu', 'créateurs', 'chivalry', 'will', 'we', 'press', 'to', 'scream']
Tweet ID: 28 | Score: 1.20 | Label: positif | Mots Sentiment: 3 | Tokens: ['RT', 'bon', 'viens', 'voir', 'trailer', 'nina', 'saldana', 'bon']
Tweet ID: 30 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jallet', 'frustration', 'ne', 'pas', 'participer', 'euro', 'certain']
Tweet ID: 31 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['chasse', 'glue', 'trait', 'humour', 'julien', 'aubert', 'encontre', 'françois', 'hollande']
Tweet ID: 32 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'sinon', 'cette', 'aprem', 'a', 'soleil', 'pluie', 'grêlons', 'neige']
Tweet ID: 35 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', '2', 'jours', 'suivent', 'partout', 'equipes', 'vais', 'finir', 'attacher', 'https', '…']
Tweet ID: 36 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['savent', 'vais', 'plus', 'combien', 'temps', 'passe']
Tweet ID: 38 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'minute', 'silence', 'respectée', 'avant', 'hommage', 'père', 'tannane', 'décédé', 'fin', 'semaine', 'dernière', 'h…']
Tweet ID: 39 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['quand', 'pense', 'jérôme', 'vie', 'a', 'vu', 'matthew', 'vie', 'a', 'pas', 'photos', 'mal', 'plus', 'total']
Tweet ID: 40 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['eneco', 'tour', '2016', 'pas', 'd’étape', 'province', 'liège', 'luxembourg']
Tweet ID: 41 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['récolté', '620', 'unités', 'nourriture']
Tweet ID: 42 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'ig', 'patrick', 'laudet', 'a', 'pas', 'air', 'favorable', 'lavage', 'cerveau', 'intensif', 'école', 'low-cost']
Tweet ID: 43 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['là', 'meilleur', 'chose', 'vie', 'rigoler']
Tweet ID: 44 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['lundi', 'go', 'directement', 'régiment', 'voit', 'bureau', 'comptable', 'essaye', 'avoir', 'consultation', 'officier', 'compagnie']
Tweet ID: 45 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ipad', '1', '32', 'go', 'wifi', '+3g', 'complet', 'boite', '120', '00', 'eurdate', 'fin', 'samedi', 'mars-12-2016', '19', '45', '34', 'cetachat']
Tweet ID: 46 | Score: 0.50 | Label: positif | Mots Sentiment: 1 | Tokens: ['coupe', 'france', 'asse', '–', 'psg', 'compositions', 'd’équipe', 'perrin', 'bien', 'titulaire']
Tweet ID: 47 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['excuse', 'vais', 'sortir', 'jury', 'ens', 'quand', 'verra', 'quel', 'point', 'escroc']
Tweet ID: 48 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['stef', 'aquele', 'cabelo', 'comprido', 'a', 'niqué', 'game', 'trop', 'fans']
Tweet ID: 49 | Score: 0.50 | Label: positif | Mots Sentiment: 1 | Tokens: ['chaque', 'fois', 'reviens', 'chez', 'grand', 'mère', 'repars', '3', '4', 'dernier', 'plein', 'courses', 'ptdr']
Tweet ID: 50 | Score: 0.65 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'quand', 'commence', 'parler', 'aime', 'pas', 'critiquer']
Tweet ID: 51 | Score: -0.40 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'énerve', 'facilement', 'quand', 'a', 'problème', 'smartphone', 'pas', 'batterie', 'connexion', 'internet']
Tweet ID: 52 | Score: -0.20 | Label: négatif | Mots Sentiment: 3 | Tokens: ['RT', 'triste', 'quand', 'fais', 'quelque', 'chose', 'bien', 'pas', 'aussi', 'remarquer', 'quand', 'fais', 'mal']
Tweet ID: 54 | Score: 0.60 | Label: positif | Mots Sentiment: 1 | Tokens: ['toujours', 'garder', 'plaisir', 'écrire', 'toujours', 'pouvoir', 'étonner', 'somme', 'travail', 'ne', 'doit', 'pas', 'effacer', 'ça']
Tweet ID: 55 | Score: -0.60 | Label: négatif | Mots Sentiment: 1 | Tokens: ['voit', 'certain', 'type', 'migrant', 'pose', 'probleme', 'cette', 'fausse', 'peur', 'islamisme']
Tweet ID: 56 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['dos', '-', 'quick', 'tftp', 'server', 'pro', '2', '3', '-', 'read', 'mode', 'denial', 'of', 'service']
Tweet ID: 57 | Score: -0.50 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'tout', 'monde', 'pas', 'obligé', 'aimer', 'frr', 'aimes', 'oklm', 'aimes', 'pas', 'cool']
Tweet ID: 58 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'retour', 'après', 'décès', 'casque', 'live', 'mdrrr']
Tweet ID: 59 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['chat', 'si', 'fait', 'chier', 'samedi', 'matin', 'va', 'repartir', 'dormir', 'coup', 'pieds', 'cul']
Tweet ID: 60 | Score: 0.70 | Label: positif | Mots Sentiment: 1 | Tokens: ['a', 'pas', 'possibilité', 'juste', 'mettre', 'non', 'nul']
Tweet ID: 61 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['4-3-3', 'reconvertible', '4-3-1-2', 'compo', 'fin', 'saison', 'dernière', 'laquelle', 'cavani', 'ultra-efficace']
Tweet ID: 62 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bulle']
Tweet ID: 63 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'tyler', 'posey', 'dylan', 'brien', 'tournage', 'saison', '6']
Tweet ID: 64 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['erreurs', 'font', 'grandir', 'coeur', 'géant']
Tweet ID: 65 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'tenues', 'justin', 'cest', 'trop', 'viiiiieee']
Tweet ID: 66 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'photo', 'jour', 'année', 'siècle', 'vie']
Tweet ID: 67 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['léa', 'pourchet', 'céline', 'mandon', 'parle', 'bio', '3d']
Tweet ID: 68 | Score: -0.40 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'énerve', 'facilement', 'quand', 'a', 'problème', 'smartphone', 'pas', 'batterie', 'connexion', 'internet']
Tweet ID: 69 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'envoie', 'pas', 'beaucoup', 'messages', 'potes', 'donne', 'pas', 'énormément', 'nouvelles', 'toujours', 'là']
Tweet ID: 70 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'contre', 'beurette', 'mettent', 'fond', 'teint', 'partout', 'vêtements', 'vs', 'etes', 'putes']
Tweet ID: 71 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'mdrr', 'père', 'a', 'pris', 'téléphone', 'a', 'envoyé', 'jtm', 'bb', 'toutes', 'meufs', 'répertoire', 'a', '55', 'ans', 'i', 'cherche…']
Tweet ID: 72 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'envie', 'effondrer', 'larmes', 'elles', 'montent', 'pas', 'yeux']
Tweet ID: 73 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['espagne', 'ça', 'va', 'gérer', 'fouu']
Tweet ID: 74 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['retour', 'après', 'décès', 'casque', 'live', 'mdrrr', 'live']
Tweet ID: 75 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'premiere', 'pud', 'refait', 'match']
Tweet ID: 76 | Score: 0.65 | Label: positif | Mots Sentiment: 1 | Tokens: ['aime', 'vidéo', '-', 'hulk', 'africain', 'fifa', '16', 'ultimate', 'team']
Tweet ID: 77 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'aimerais', 'vraiment', 'fonctionnalité', 'youtube', 'savoir', 'combien', 'heures', 'vidéo', 'regardé', 'o']
Tweet ID: 79 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', '&', 'gt', 'toute', 'pp', 'twitter']
Tweet ID: 80 | Score: 0.65 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'quand', 'commence', 'parler', 'aime', 'pas', 'critiquer']
Tweet ID: 81 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jeunesse', 's’endort', 'a', 'plus', 'grand', 'chose', 'dire', 'beaucoup', 'potes', 'roulent', 'joints', 'avenir']
Tweet ID: 82 | Score: 0.65 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'quand', 'commence', 'parler', 'aime', 'pas', 'critiquer']
Tweet ID: 83 | Score: -0.20 | Label: négatif | Mots Sentiment: 3 | Tokens: ['RT', 'sens', 'odeur', 'première', 'course', 'merde', 'sens', 'bien']
Tweet ID: 84 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'ceux', 'week-end', 'coupage', 'cheveux', 'première', 'fois', 'vie', 'aussi', 'long']
Tweet ID: 85 | Score: 1.35 | Label: positif | Mots Sentiment: 3 | Tokens: ['RT', 'aime', 'tellement', 'fort', 'plus', 'plus', 'chaque', 'jour']
Tweet ID: 87 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'commission', 'étudiants', 'présentent', 'résultats', 'enquête', 'bouge', 'twis…']
Tweet ID: 88 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'voici', 'eye-liner', 'parfait', 'enfin', 'selon']
Tweet ID: 89 | Score: 0.00 | Label: neutre | Mots Sentiment: 2 | Tokens: ['RT', 'connais', 'tous', 'genre', 'bête', 'pote', 'a', '1', '2', 'ans', 'mnt', 'passe', 'a', 'coté', 'cmme', 'si', 'rien']
Tweet ID: 90 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'pétition', 'contre', 'loi', 'el', 'khomri', 'plus', 'très', 'loin', 'million', 'signatures']
Tweet ID: 91 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'savigny-le-temple', 'accidentés', 'sortent', 'voiture', 'fusils']
Tweet ID: 92 | Score: -0.35 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'fait', 'peu', 'connu', 'peut', 'avoir', 'crise', 'panique', 'situation', 'urgence']
Tweet ID: 93 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['réédition', 'album', 'jul', 'demain']
Tweet ID: 94 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['aide', 'dictateurs', 'europe', 'coupable', 'complice', 'peuple', 'opprimé', 'vote', 'pieds', 'oubli', 'europe']
Tweet ID: 95 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['underground', 'époque', 'pas', 'underground', 'sinon', 'photographie', 'magistrale', 'société', 'us']
Tweet ID: 96 | Score: 1.00 | Label: positif | Mots Sentiment: 3 | Tokens: ['RT', 'ete', 'bien', 'organisé', 'sarko', 'a', 'bien', 'fait', 'envoyer', 'bouler']
Tweet ID: 98 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['+', 'feu', 'fait', 'nuit', 'tard', 'fait', 'chaud', 'fait', 'pleins', 'soirées', 'voit', 'potes', 'hivers']
Tweet ID: 99 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'fait', 'peu', 'connu', 'sait', 'rendre', 'discret', 'lors', 'situations', 'tendues', 'peut', 'ainsi', 'échapper', 'tranq…']
Tweet ID: 100 | Score: 0.85 | Label: positif | Mots Sentiment: 1 | Tokens: ['sans', 'compter', 'moment', 'connivence', 'zygomatique', 'ça', 'a', 'créé', 'entre', 'joyeux', 'jeune', 'homme', 'merveilleux', 'dis']
Tweet ID: 102 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['sais', 'pas', 'comment', 'faites', 'gens', 'suivent', 'pcq', 'blc', 'dis']
Tweet ID: 103 | Score: 0.50 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'pleure', 'rire', 'chaque', 'fois', 'regarde', 'cette', 'vidéo']
Tweet ID: 104 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'comment', 'est-ce', 'possible', 'avoir', 'soleil', 'vent', 'pluie', 'grêle', 'journée']
Tweet ID: 105 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'larmes', 'nerf', 'pires']
Tweet ID: 106 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'plus', 'gros', 'malaise', 'histoire', 'ptdrrrr', 'tête', 'fin']
Tweet ID: 107 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'dur', 'choisir', 'entre', 'veut', 'mieux']
Tweet ID: 108 | Score: -0.90 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'tapez', 'fille', 'privée', 'tout', 'enfermer', 'etc', 'justement', 'serre', 'a', 'rien', 'faut', 'savoir', 'parler', 'sagesse', 'sinon', 'pire', '…']
Tweet ID: 109 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'arrêtez', 'prendre', 'tête', 'rien']
Tweet ID: 110 | Score: 0.90 | Label: positif | Mots Sentiment: 2 | Tokens: ['imaginant', 'place', 'nicki', 'ça', 'passe', 'grave', 'bien', 'nofake']
Tweet ID: 111 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ni', 'els', 'arguments', 'xd']
Tweet ID: 112 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'équipe', 'semaine', '25', 'disponible', '19h00']
Tweet ID: 113 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', '5', 'jihadistes', 'tués', 'ben', 'guardane', 'dont', 'après', 'avoir', 'actionné', 'ceinture', 'explosive']
Tweet ID: 114 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'vs', 'air', 'bonne', 'humeur', 'cmatin']
Tweet ID: 115 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'demain', 'ya', 'tlm', 'va', 'rattraper', 'grâce', 'épreuve', 'math', 'puis', 'va', 'encore', 'plus', 'merdée']
Tweet ID: 116 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'partenariat', 'prospérité', 'tous', 'https…']
Tweet ID: 117 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'avant', 'assez', 'suspect', 'avant', 'fortes', 'chute', 'grêle', 'prise']
Tweet ID: 118 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'repéré', 'beaucoup', 'beaucoup', 'trop', 'fringues']
Tweet ID: 119 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['libérée', 'synthèse', 'biblio', 'reste', 'plus', 'entretien']
Tweet ID: 120 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['nouvelle', 'étude', 'confirme', 'déclin', 'classe', 'moyenne', 'europe', 'via']
Tweet ID: 121 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'starter', 'pack', 'gilbert', 'montagné']
Tweet ID: 122 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'cassandra', 'casse', 'couilles', 'tous', 'jours', 'met', '50', 'photos', 'journées', 'ski', 'fb']
Tweet ID: 123 | Score: 0.70 | Label: positif | Mots Sentiment: 1 | Tokens: ['jmennuie', 'ouf']
Tweet ID: 124 | Score: -0.51 | Label: négatif | Mots Sentiment: 2 | Tokens: ['essaie', 'trop', 'foutre', 'merde', 'entre', 'deux', 'mdr', 'cherche', 'pas', 'trop', 'confiance', 'cassera', 'rien']
Tweet ID: 125 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'structuré', 'l’écosystème', 'startups', 'françaises', 'autour', '13', 'métropoles']
Tweet ID: 126 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'cast', 'tournage', 'saison', '1']
Tweet ID: 127 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'rejoignez', 'venez', 'construire', 'système', 'santé', 'demain']
Tweet ID: 128 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'cimenterie', 'mcinnis', 'hypocrisie', 'gouvernement', 'matière', 'environnement', 'atteint', 'nouveaux', 'sommets', 'https', '…']
Tweet ID: 130 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['importance', 'concept', 'engagement', 'articles', 'numériques']
Tweet ID: 131 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bah', 'réunion', 'quoi']
Tweet ID: 132 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'magie', 'peinture']
Tweet ID: 133 | Score: 0.40 | Label: positif | Mots Sentiment: 1 | Tokens: ['mddrrr', 'envie', 'changer', 'grave', 'marre', 'imprismatic', 'p']
Tweet ID: 135 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['tête', 'skunk', 'pas', 'ien-cli', 'yankee', 'enquille']
Tweet ID: 136 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['commencé', 'tête', 'abricot']
Tweet ID: 137 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['vrai', 'jsuis', 'bout', 'pr', 'bomber', 'cherchait', 'année', 'derniere', 'yen', 'presque', 'pas', 'part', 'chez', 'gars', 'er', 'pas', 'sous']
Tweet ID: 138 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'battre', 'regard', 'délire', 'niaf', 'ça']
Tweet ID: 139 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'pape', 'françois', 'invasion', 'arabe', 'positive', 'europe', 'doit', 'cultiver', 'identités', 'culturelles', 'peuples', 'http…']
Tweet ID: 140 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['encouragements', 'part', '5', 'personnes', 'moins', 'influentes']
Tweet ID: 141 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['retour', 'soir']
Tweet ID: 142 | Score: 0.50 | Label: positif | Mots Sentiment: 1 | Tokens: ['bien', 'aller', 'salle', 'sport', 'potes']
Tweet ID: 143 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['coupure', 'courant', 'là']
Tweet ID: 144 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['oui', 'ailleurs', 'répondre', 'question', 'candle', 'woman', 'mère', 'gareth', 'pense', 'non']
Tweet ID: 145 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ubs', 'mise', 'examen', 'subornation', 'témoin', '$', 'ubs']
Tweet ID: 146 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'alphonse', 'areola', 'gardien', 'français', 'auteur', 'plus', 'grand', 'nombre', 'clean', 'sheets', 'cette', 'saison', '13']
Tweet ID: 147 | Score: 0.65 | Label: positif | Mots Sentiment: 1 | Tokens: ['aime', 'vidéo', '-', 'tag', '¦', 'my', 'iphone']
Tweet ID: 148 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['essaye', 'tomber', 'mieu']
Tweet ID: 149 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['restez', 'branché', 'radio', 'gaspésie', 'page', 'facebook', 'cd', 'spectacles']
Tweet ID: 150 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'batignolles', 'proximité', 'convivialité', 'vie', 'quartier']
Tweet ID: 151 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['renégocier', 'classique', 'oui', 'non', 'barça', 'a', 'déjà', 'tout', 'gagné', 'rapidement', 'passera', 'jamais', 'dessus', 'messi']
Tweet ID: 152 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'quand', 'réveil', 'matin', 'retard', 'cours', 'pas', 'temps', 'habiller']
Tweet ID: 153 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['énerve', 'déprimer', 'autant']
Tweet ID: 154 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'sch', 'quand', 'a', 'dit', 'lever', '1200', 'euros', 'insultant', 'a', 'plongé', 'moitié', 'france', 'noir']
Tweet ID: 155 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['pourquoi', 'tant', 'haiiiine']
Tweet ID: 156 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['-elle', 'aperçut', 'alors', 'regardais', 'sentit', 'corps', 'frémir', 'approche', 'tentant', 'vingt', 'dissimuler', 'elle*']
Tweet ID: 158 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'sinon', 'deux', 'heures', 'cours']
Tweet ID: 159 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'france', 'finie', 'titre', 'l’ensemble', 'presse', 'britannique', 'via']
Tweet ID: 160 | Score: -0.60 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'peut', 'être', 'moche', 'hamdoullah', 'jamais', 'mit', 'pull', 'baby-milo']
Tweet ID: 161 | Score: -0.50 | Label: négatif | Mots Sentiment: 1 | Tokens: ['déjà', 'va', 'arrêter', 'penser', 'sam', 'cat', 'solutions', 'dis', 'pas', 'ça', 'fait', 'pas', 'bien', 'encore', 'ça', 'mène', 'rien']
Tweet ID: 163 | Score: 0.70 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'cinéma', 'siné', 'a', 'dit', 'pourra', 'mourir', 'heureux', 'seulement', 'quand', 'gagné', 'contre', 'bhl']
Tweet ID: 164 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['trop', 'mignon', 'père', 'a', 'fait', 'riz', 'cantonais', 'forme', 'coeur']
