Tweet ID: 1 | Score: 0.30 | Label: positif | Mots Sentiment: 1 | Tokens: ['allez', 'emmène', 'resto', 'zappé', 'telho', 'reste', 'tranquille', 'tn', 'clavier']
Tweet ID: 17 | Score: 0.70 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'café+clope', 'lendemain', 'soirée', 'passe', 'tellement', 'bien']
Tweet ID: 18 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['suivant', 'pc', 'pense']
Tweet ID: 19 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['pamela', 'anderson', 'explique', 'pourquoi', 'hésite', 'apparaître', 'remake', 'd’alerte', 'malibu']
Tweet ID: 20 | Score: 0.10 | Label: neutre | Mots Sentiment: 1 | Tokens: ['neige', 'chez', 'tout', 'monde', 'chez', 'ntm', 'ok', 'jvois']
Tweet ID: 21 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jltle', 'nbre', 'fois', 'où', 'j’ai', 'vu', 'terrain', 'rugby', 'faire', 'recoudre', 'tête', 'remettre', 'bouejms', 'entendu', 'parl…']
Tweet ID: 22 | Score: 0.30 | Label: positif | Mots Sentiment: 1 | Tokens: ['vice', 'maternel', 'traînant', 'hérédité', 'toujours', 'impatient', 'course', 'bornée', 'croissant', 'fin', 'clair', 'parmi', 'fleurs', 'ombre']
Tweet ID: 24 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['charlotte', 'gainsbourg', 'évoque', 'décès', 'père', 'sale', 'état']
Tweet ID: 25 | Score: -0.50 | Label: négatif | Mots Sentiment: 1 | Tokens: ['lire', 'livre', 'aurélie', 'lanctôt', 'libéraux', 'aiment', 'pas', 'femmes', '-', 'essai', 'austérité']
Tweet ID: 26 | Score: 0.70 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'adore', 'cinéma', 'séries', 'américaines']
Tweet ID: 27 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['manque', 'personne', 'tête', 'résonne']
Tweet ID: 28 | Score: 0.00 | Label: neutre | Mots Sentiment: 2 | Tokens: ['marc', 'trévidic', 'prouve', 'bon', 'juge', 'ne', 'fait', 'pas', 'toujours', 'bon', 'romancier']
Tweet ID: 29 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['apt', 'vaucluse']
Tweet ID: 30 | Score: 0.40 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'quand', 'bac', 'vert', 'mdr']
Tweet ID: 31 | Score: 0.80 | Label: positif | Mots Sentiment: 1 | Tokens: ['depuis', 'réussi', 'a', 'bypass', 'proxy', 'début', 'avance', 'beaucoup', 'moins', 'vite', 'merci']
Tweet ID: 32 | Score: -0.60 | Label: négatif | Mots Sentiment: 1 | Tokens: ['franchement', 'agace', 'pas', 'avancé', 'truc', 'sais', 'quoi', 'mettre', 'putain', 'dossier', 'flemmmmmmmme', 'rédiger']
Tweet ID: 33 | Score: 1.90 | Label: positif | Mots Sentiment: 4 | Tokens: ['RT', 'hui', 'ça', 'bien', 'dur', 'supporter', 'entre', 'bagarre', 'endurance', 'kiff', 'kiff', '…']
Tweet ID: 34 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'neige', 'chez', 'tout', 'monde', 'sauf', 'chez']
Tweet ID: 35 | Score: -0.05 | Label: neutre | Mots Sentiment: 3 | Tokens: ['RT', 'toute', 'façon', 'toujours', 'déçu', 'personnes', 'aime', 'plus']
Tweet ID: 36 | Score: -0.80 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'tombé', 'podium', '27', 'novembre', 'après', 'défaite', 'face', 'montpellier', 'fallu', '3', 'mois', '14', 'matchs', '…']
Tweet ID: 39 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'scandales', 'sport', '-', 'champions', 'triche']
Tweet ID: 40 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'animaux', 'empoisonnés', 'parc', 'kruger', 'sud']
Tweet ID: 41 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'tenue', 'provocante', 'blablabla', 'ça', 'encore', 'concept', 'inventé', 'hommes', 'justifier', 'viol']
Tweet ID: 42 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'selon', 'sexta', 'neymar', 'discuterait', 'toujours', 'psg']
Tweet ID: 43 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'oui', 'ya', 'tout', 'sephora', 'va', 'grand', 'sephora', 'trouver', 'teinte', 'foncé', 'sur…']
Tweet ID: 44 | Score: -0.30 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'ne', 'verrai', 'sans', 'doute', 'jamais', 'autres', 'idoles', 'aimerais', 'tellement', 'voir', 'moinslui', 'svp', '…']
Tweet ID: 45 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'plus', 'moitié', 'adolescents', 'manquent', 'sommeil', 'cause', 'cours', 'commencent', 'tôt', 'matin']
Tweet ID: 46 | Score: 0.70 | Label: positif | Mots Sentiment: 1 | Tokens: ['après', 'beau', 'temps']
Tweet ID: 47 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['forum', 'bière', '19', 'mars', '2016', 'fête', 'bière', 'poligny', 'cette', 'onzième', 'édition', 'samedi', '19', 'mars']
Tweet ID: 48 | Score: -0.70 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'jui', 'mort']
Tweet ID: 49 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'vidéo', '-', 'afrique', 'sud', 'couper', 'cornes', 'rhinocéros', 'éviter', 'braconnage']
Tweet ID: 50 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['maxime_legoff', 'carlitodnole', 'sinon', 'droit', 'lire', 'itw', 'comprendre', 'sens', 'citation']
Tweet ID: 51 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'nein', 'plus', 'premier', 'partenaire', 'commercial', '-']
Tweet ID: 52 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'booba', 'a', 'juste', 'dit', 'vivement', 'pourvu', 'neige', 'a', 'déréglé', 'climat']
Tweet ID: 54 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['10eme', 'truc', 'fou']
Tweet ID: 55 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'rendez-vous', '6', 'mars', '2016', 'esplanade', 'palais', 'peuple', 'festival', 'grillades', 'big', 'up', 'tous', 'fans']
Tweet ID: 57 | Score: 0.60 | Label: positif | Mots Sentiment: 1 | Tokens: ['ha', 'fait', 'où', 'respect', 'tjr', 'pas', 'revenu', 'hein']
Tweet ID: 58 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['si', 'buy', 'jeu', 'viens']
Tweet ID: 59 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['can', 'pu', 'assez', 'place', 'garage']
Tweet ID: 60 | Score: 0.00 | Label: neutre | Mots Sentiment: 3 | Tokens: ['RT', 'quoi', 'pire', 'gros', 'mots', 'cette', 'vidéo', 'magnifique', 'mdrrr']
Tweet ID: 62 | Score: 0.60 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'dingue', 'cette', 'vache', 'traduit', 'pr', 'sourds', '&', 'amp', 'malentendants', 'discours', 'marine']
Tweet ID: 63 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bonheur', 'sera-t-il', 'courte', 'durée']
Tweet ID: 65 | Score: 0.60 | Label: positif | Mots Sentiment: 1 | Tokens: ['bon', 'dessin', 'a', 'quand-même', 'moins', '25', '30', 'ans', 'moins']
Tweet ID: 66 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'essayant', 'obtenir', 'bonne', 'température', 'pendant', 'sommeil']
Tweet ID: 67 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['vu', 'ciel', 'dis', '15mn', 'fait', 'soleil', 'pas', 'tout', 'schizo', 'temps', 'hui']
Tweet ID: 68 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['quand', 'bu', 'lait', 'ca', 'a', 'fait', 'bruit', 'dread', 'doctors', 'quand', 'arrivent', 'morte']
Tweet ID: 69 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bonjour', 'pouvez', 'refuser', 'colis', 'être', 'intégralement', 'remboursée', 'si', 'souhaitez', '1', '2']
Tweet ID: 70 | Score: 0.00 | Label: neutre | Mots Sentiment: 2 | Tokens: ['RT', 'g', 'point', 'RT', 'notifiant', 'ministère', 'justice', 'police', 'dernier', 'moment', 'me…']
Tweet ID: 71 | Score: -0.70 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'rer', 'relou', 'a', 'toute', 'afrique', 'dedans', 'asseoir', 'marathon', 'a']
Tweet ID: 72 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['zoolander', '2', 'quand', 'cinéma', 'parodie', 'mode']
Tweet ID: 73 | Score: -0.90 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'viol', 'pas', 'justifiable', 'fille', 'joue', 'pute', 'seins', 'a', 'air', 'tout', 'bah', 'a', 'cherché', 'faut', 'arreter']
Tweet ID: 74 | Score: 0.90 | Label: positif | Mots Sentiment: 1 | Tokens: ['quand', 'prof', 'dit', 'trouver', 'partenaire', 'meilleur', 'pote', 'regarde', 'mdrrr']
Tweet ID: 76 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['philippines', 'corps', 'momifié', 'd’un', 'allemand', 'retrouvé', 'yacht', 'dérive']
Tweet ID: 77 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['académie', 'européenne', 'cinéma', 'défend', 'film', 'oscarisé', 'ida']
Tweet ID: 79 | Score: -0.60 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'foll', 'accuse', 'sarkozy', 'petit', 'débat', 'politicien', 'crise', 'agricole']
Tweet ID: 80 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'booba', 'a', 'juste', 'dit', 'vivement', 'pourvu', 'neige', 'a', 'déréglé', 'climat']
Tweet ID: 81 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jve', 'meuf', 'fai', '1m55', 'comme', 'ça', 'pose', 'épaule', 'comme', 'ptit', 'perroquet']
Tweet ID: 82 | Score: 1.25 | Label: positif | Mots Sentiment: 2 | Tokens: ['aime', 'vidéo', 'tour', 'magie', 'n°5', 'explication', 'secret', 'bon', 'tour', 'adresse']
Tweet ID: 83 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'gens', 'parle', 'arrêt', 'bus', 'savoir', 'horraires', 'regarde', 'panneau', 'mère', 'poulpe', 'nan']
Tweet ID: 84 | Score: 0.80 | Label: positif | Mots Sentiment: 1 | Tokens: ['cinéma', 'route', 'amour', 'passe', 'vin']
Tweet ID: 85 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['mi-pluie', 'mi-neige', 'truc', 'tient', 'pas', 'sert', 'rien']
Tweet ID: 86 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['modern', 'express', 'redressé', 'port', 'bilbao']
Tweet ID: 87 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jean-louis', 'ne', 'félicite', 'pas', 'très', 'mal', 'préparé', 'match', 'pendant', 'golf']
Tweet ID: 88 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['canton', 'genève', 'porte', 'plainte', 'contre', 'centrale', 'nucléaire', 'bugey']
Tweet ID: 90 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['catherine', 'botti', 'a', 'enchanté', 'visiteurs', 'corbeilles', 'découpes', 'stand', 'fruits', 'légumes', 'frais']
Tweet ID: 91 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'booba', 'a', 'juste', 'dit', 'vivement', 'pourvu', 'neige', 'a', 'déréglé', 'climat']
Tweet ID: 92 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['fois', 'où', 'pris', 'bus', '15', 'dizaine', 'minute', 'après', 'apprends', 'entre', 'a', 'prit', 'feu']
Tweet ID: 93 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'trouvé', 'meuf', 'trouve', 'tellement', 'bonne', 'film', 'train', 'bouffer', 'stp', 'où', 'va', 'monde']
Tweet ID: 94 | Score: -0.30 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'rtsi', 'juif', 'coupe', 'gaz', 'entre', '19h39', '19h45', 'sait', 'jamais', 'zerma']
Tweet ID: 101 | Score: -0.65 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'ne', 'dit', 'pas', 'aime', 'montre']
Tweet ID: 103 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'i', 'suffit', 'booba', 'dise', 'vivement', 'pourvu', 'neige', 'déréglé', 'tt', 'météo', 'nationale', 'temp', 'i', 'pa', 'si', 'i', 'doit', 'neige…']
Tweet ID: 116 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['article', 'parisien']
Tweet ID: 125 | Score: 0.84 | Label: positif | Mots Sentiment: 1 | Tokens: ['tellement', 'bon', 'pas', 'avoir', 'cours', 'mercredi', 'aprem']
Tweet ID: 126 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['encore', 'quelques', 'petites', 'heures', 'remporter', 't-shirt', 'nier']
Tweet ID: 127 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['salaire', 'blatter', 'connu', 'fin', 'mars']
Tweet ID: 128 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'voici', 'teaser', 'clip', 'deindépendantes', 'bientôt', 'htt…']
Tweet ID: 129 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'parfois', 'arbre', 'humanise', 'mieux', 'paysage', 'ne', 'ferait', 'homme']
Tweet ID: 130 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['*pas', 'trop']
Tweet ID: 131 | Score: -0.70 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'ahahahaha', 'jsuis', 'ko', 'gars', 'a', 'peur', 'souuuurd']
Tweet ID: 132 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['tué', 'mangé', 'coloc', 'précédent']
Tweet ID: 134 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ptdrrrrrrr', 'gars', 'tuer']
Tweet ID: 135 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['plus', 'quelques', 'jours', 'sauver', 'musée', 'tissus', 'lyon']
Tweet ID: 136 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'pack', 'ps4', 'edition', 'blanche', '+', 'écran', 'asus', 'gaming', 'gagner', '-', 'tweet', 'compte', 'ht…']
Tweet ID: 137 | Score: -0.56 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'jsuis', 'tellement', 'fatigué', 'h24', 'mtn', 'fatigue', 'jla', 'sent', 'plus', 'fait', 'partie', 'prend', 'thé', 'ensemble', 'parfois']
Tweet ID: 138 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bayern', 'munich', 'javi', 'martinez', 'retouche', 'ballon']
Tweet ID: 139 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'data', 'performance', 'sportive', 'retrouvez', 'dossier', 'mois', 'février']
Tweet ID: 142 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['retour', 'homme', 'sans', 'bras', 'coucou', 'xd']
Tweet ID: 143 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'gosses', 'voyez', 'hamas', 'lieu', 'diffamer']
Tweet ID: 144 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'retour', 'rencontre', 'haletante', 'entre', 'hcmag', 'chamonix']
Tweet ID: 145 | Score: -0.70 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'tais', 'plus', 'belle', 'vie']
Tweet ID: 146 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ça', 'déroule', 'hui', '17', 'h', 'intervenants', 'partout', 'pays', 'ministre', 'min', 'mccallum', 'là', 'cet', 'pm']
Tweet ID: 147 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['nouvelle', 'bande-annonce', 'monde', 'dory', 'poisson', 'amnésique', 'traces', 'passé', '-', 'allociné']
Tweet ID: 148 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'quand', 'oda', 'offre', 'arc', 'combats', 'comme', 'contre', 'cp9']
Tweet ID: 149 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'mouhaha', 'dirige', 'monde']
Tweet ID: 150 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['quand', 'sais', 'pas', 'cours', 'jour', 'rentrée', 'anniversaire', 'vais', 'pouvoir', 'dormir']
Tweet ID: 151 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'salon', 'agriculture', 'président', 'visite', 'ht…']
Tweet ID: 152 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'père', 'benoît', 'lacroix', 'éteint', '100', 'ans']
Tweet ID: 153 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'coran', 'a', 'sortie', 'lycee', 'jai', 'pousser', 'meuf', 'sans', 'mexcuser', 'ajouter', 'fb', 'dis', 'depuis', 'pousser', 'j…']
Tweet ID: 154 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['combat', 'grand', 'froid', 'ac', 'moufles', 'réalisées', 'partir', 'vieux', 'pull', '…']
Tweet ID: 155 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['fete', 'anniversaire', 'jb', 'yavai', 'tout', 'monde', 'wsh']
Tweet ID: 157 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'booba', 'a', 'juste', 'dit', 'vivement', 'pourvu', 'neige', 'a', 'déréglé', 'climat']
Tweet ID: 158 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['étirer', 'mieux', 'sex']
Tweet ID: 159 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['schème', 'pensée', 'pervers', 'orangiste', 'canadian', 'ti-jean', 'chrétien', 'fameux', 'plan', 'b']
Tweet ID: 160 | Score: -0.40 | Label: négatif | Mots Sentiment: 1 | Tokens: ['ne', 'peut', 'toujours', 'pas', 'connecter', 'alors', 'banni', '29', '02', 'wtf', 'p']
Tweet ID: 161 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'cadre', 'divorce', 'si', 'époux', 'oublie', 'mentionner', 'sources', 'revenus', 'ça', 'peut', 'ê…']
Tweet ID: 162 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['temps', 'aille', 'chez', 'coiffeur']
Tweet ID: 163 | Score: 0.90 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'meilleur', 'vine', 'français', 'sans', 'aucune', 'hésitation']
Tweet ID: 164 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['equipe', 'f1', '-', 'grosjean', 'grand', 'frère']
Tweet ID: 165 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'neige', 'paris', 'mars', 'alors', 'faisais', '13', 'degrés', '24', 'décembre', 'vas', 'falloir', 'expliquer']
Tweet ID: 166 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['savez', 'si', 'oui', 'rendez-vous', '6', 'mars', 'mesnil-sur-oger']
Tweet ID: 167 | Score: -1.10 | Label: négatif | Mots Sentiment: 2 | Tokens: ['puissant', 'séisme', 'crée', 'panique', 'indonésie', 'risque', 'revivre', 'nouveau', 'sri-lanka', 'finalemen']
Tweet ID: 168 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['fait', 'papier', 'plus', 'long', 'sujet', 'hyper', 'intrigué']
Tweet ID: 169 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['nouvelle', 'chanson', 'album', 'avril', 'operators', 'projet', 'dan', 'boeckner']
Tweet ID: 170 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['calme', 'parce', 'deja', 'mot', 'sandale', 'degueulasse', 'mdrrr']
Tweet ID: 171 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['nez', 'bouche']
Tweet ID: 172 | Score: 1.25 | Label: positif | Mots Sentiment: 3 | Tokens: ['chez', 'ça', 'tourne', 'vraiment', 'bien', 'bon', 'pas', 'tout', 'fond', 'fxxa', 'anticrénelage', 'ombres', 'moyen', 'reste', 'élevé']
Tweet ID: 173 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['revois', 'demain', 'si', 'pensez', 'a', 'endroits', 'plus', 'spécifiques', 'observer', 'dites']
Tweet ID: 174 | Score: 0.50 | Label: positif | Mots Sentiment: 1 | Tokens: ['suicide', 'chat', 'ptdr', 'va', 'monde']
Tweet ID: 175 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'neige', 'faire', 'oublier', 'loi', 'el', 'khomri', 'sachez-le', 'coup']
Tweet ID: 176 | Score: -0.30 | Label: négatif | Mots Sentiment: 1 | Tokens: ['chic_lady6', 'pays', 'où', 'neige', 'jamais', 'via', 'twitter']
Tweet ID: 177 | Score: 0.75 | Label: positif | Mots Sentiment: 4 | Tokens: ['RT', 'tl', 'a', 'toujours', 'suceurs', 'RT', 'tweet', 'fois', 'tout', 'monde', 'RT', 'alors', 'très', 'bien', 'vu', 'au…']
Tweet ID: 178 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'dernier', 'bal']
Tweet ID: 179 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'prêts', 'découvrir', 'clip', '-', '&', 'gt', 'disponible', 'exactement', '30', 'minutes']
Tweet ID: 180 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'cabella', 'raconte', 'enfer', 'français', 'newcastle']
Tweet ID: 181 | Score: 0.00 | Label: neutre | Mots Sentiment: 2 | Tokens: ['RT', '4-', 'faites', 'pas', 'genre', 'juge', 'tous', 'plus', 'moins', 'physique']
Tweet ID: 184 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['veut', 'allez', 'cinéma', 'vu', 'temps', 'va', 'arriver', 'trempé']
Tweet ID: 185 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['hello', 'kfthon', '25e', 'remise', 'dons', 'lancé', 'merci', 'avance', 'contributions']
Tweet ID: 186 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['bah', 'proble', 'mdp', 'forum']
Tweet ID: 187 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['augmenter', 'taux', 'manière', 'naturelle', 'sans', 'effets', 'secondaires']
Tweet ID: 188 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'ne', 'peux', 'pas', 'commencer', 'prochain', 'chapitre', 'vie', 'si', 'relis', 'sans', 'cesse', 'dernier']
Tweet ID: 190 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'breaking', 'news', 'cette', 'averse', 'neige', 'duré', 'aussi', 'longtemps', 'pokémon', 'direct']
Tweet ID: 192 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'journal', 'fin', 'monde', 'jour', '1', 'astres', 'alignés', 'neige', 'pluie', 'vent', 'combiné', 'comme', 'pro…']
Tweet ID: 193 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'booba', 'a', 'juste', 'dit', 'vivement', 'pourvu', 'neige', 'a', 'déréglé', 'climat']
Tweet ID: 194 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', '-', 'missile', 'hanche', 'signé']
Tweet ID: 195 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['temps', 'arrete', 'pas', 'changer', 'aujd']
